NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2011-2012,Los Angeles Clippers,1.12,2,0.39,33,634237,19060,628980,19219,1.01,33,18342,0.97,66,18781,0.99
2012-2013,Los Angeles Clippers,1.26,2,0.61,41,788293,19060,781460,19227,1.01,41,17806,0.93,82,18516,0.97
2013-2014,Los Angeles Clippers,1.24,2,0.68,41,787692,19060,781460,19212,1.01,41,17218,0.9,82,18215,0.96
2014-2015,Los Angeles Clippers,1.28,2,0.7,41,785892,19060,781460,19168,1.01,41,18079,0.95,82,18624,0.98
2015-2016,Los Angeles Clippers,1.38,1,0.68,41,786910,19060,781460,19193,1.01,41,17792,0.94,82,18492,0.97
2016-2017,Los Angeles Clippers,1.27,1,0.65,41,786910,19060,781460,19193,1.01,41,17792,0.94,82,18492,0.97
2008-2009,Los Angeles Lakers,1.33,2,0.7,41,778877,18997,778877,18997,1,40,19268,1.01,81,19133,1
2009-2010,Los Angeles Lakers,1.46,2,0.79,41,778877,18997,778877,18997,1,41,19265,1.01,82,19131,1
2010-2011,Los Angeles Lakers,1.49,2,0.7,41,778877,18997,778877,18997,1,41,19087,1,82,19042,1
2011-2012,Los Angeles Lakers,1.47,2,0.7,33,626901,18997,626901,18997,1,33,19034,1,66,19016,1
2012-2013,Los Angeles Lakers,1.7,2,0.62,41,778877,18997,778877,18997,1,41,18866,0.99,82,18932,0.99
2013-2014,Los Angeles Lakers,1.31,1,0.55,41,771974,18997,778877,18829,0.99,41,17845,0.94,82,18337,0.96
2014-2015,Los Angeles Lakers,1.12,1,0.33,41,768244,18997,778877,18738,0.98,41,17875,0.94,82,18306,0.96
2015-2016,Los Angeles Lakers,1.05,1,0.26,41,778877,18997,778877,18997,1,41,19149,1.01,82,19073,1
2016-2017,Los Angeles Lakers,1.04,1,0.21,41,778877,18997,778877,18997,1,41,19149,1.01,82,19073,1
2008-2009,Memphis Grizzlies,0.95,0,0.27,40,509806,18119,724760,12745,0.7,41,17101,0.89,81,14923,0.8
2009-2010,Memphis Grizzlies,0.91,1,0.29,41,552914,18119,742879,13486,0.74,41,16691,0.88,82,15088,0.81
2010-2011,Memphis Grizzlies,1.15,0,0.49,41,600687,18119,742879,14651,0.81,41,16441,0.86,82,15546,0.84
2011-2012,Memphis Grizzlies,1.18,1,0.56,33,518256,18119,597927,15705,0.87,33,17068,0.9,66,16386,0.88
2012-2013,Memphis Grizzlies,1.07,1,0.62,41,681613,18119,742879,16625,0.92,41,17194,0.9,82,16909,0.91
2013-2014,Memphis Grizzlies,1.26,0,0.68,41,685458,18119,742879,16718,0.92,41,17269,0.91,82,16994,0.91
2014-2015,Memphis Grizzlies,1.19,1,0.61,41,710502,18119,742879,17329,0.96,41,18017,0.94,82,17673,0.95
