NBA Season,Team,# (H) Games,(H) Attendance Season,(H) Capacity %,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Attendance Season,(A) Avg Attendance,(A) Capacity % ,(H) & (A) Avg,(H) & (A) PCT
2009-2010,Milwaukee Bucks,41,619453,18717,767397,15108.60976,80.7,41,16823,87.2,82,15966,83.95
2010-2011,Milwaukee Bucks,41,631910,18717,767397,15412.43902,82.3,41,16911,87.4,82,16162,84.85
2011-2012,Milwaukee Bucks,33,485717,18717,617661,14718.69697,78.6,33,16661,85.4,66,15690,82
2012-2013,Milwaukee Bucks,41,616469,18717,767397,15035.82927,80.3,41,16919,87.5,82,15977,83.9
2013-2014,Milwaukee Bucks,41,552967,18717,767397,13487,72.1,41,17013,87.7,82,15250,79.9
2014-2015,Milwaukee Bucks,41,611226,18717,767397,14907.95122,79.6,41,17180,88.8,82,16044,84.2
2015-2016,Milwaukee Bucks,41,621808,18717,767397,15166.04878,81,41,17623,91.4,82,16395,86.2
2016-2017,Milwaukee Bucks,41,621808,18717,767397,15166.04878,81,41,17623,91.4,82,16395,86.2
2008-2009,Minnesota Timberwolves,41,594743,19356,793596,14505.92683,74.9,40,16845,88.1,81,15675,81.5
2009-2010,Minnesota Timberwolves,41,619170,19356,793596,15101.70732,78,41,16112,84.8,82,15607,81.4
2010-2011,Minnesota Timberwolves,41,624960,19356,793596,15242.92683,78.8,41,16885,88.5,82,16064,83.65
2011-2012,Minnesota Timberwolves,33,577197,19356,638748,17490.81818,90.4,33,16310,86.6,66,16900,88.5
2012-2013,Minnesota Timberwolves,41,669956,19356,793596,16340.39024,84.4,41,17034,89.3,82,16687,86.85
2013-2014,Minnesota Timberwolves,41,597157,19356,793596,14564.80488,75.2,41,17605,92.1,82,16085,83.65
2014-2015,Minnesota Timberwolves,41,595652,19356,793596,14528.09756,75.1,41,18000,94.2,82,16264,84.65
2015-2016,Minnesota Timberwolves,41,581178,19356,793596,14175.07317,73.2,41,17831,94,82,16003,83.6
2016-2017,Minnesota Timberwolves,41,581178,19356,793596,14175.07317,73.2,41,17831,94,82,16003,83.6
2008-2009,New Orleans Pelicans,41,695727,16867,691547,16968.95122,98.7,40,17702,92.2,81,17335,95.45
2009-2010,New Orleans Pelicans,41,620366,16867,691547,15130.87805,88.5,41,17168,89.8,82,16149,89.15
2010-2011,New Orleans Pelicans,41,603088,16867,691547,14709.46341,86.1,41,17179,89.9,82,15944,88
2011-2012,New Orleans Pelicans,33,498618,16867,556611,15109.63636,88.4,33,16717,87.9,66,15913,88.15
2012-2013,New Orleans Pelicans,41,565930,16867,691547,13803.17073,80.3,41,17254,90.1,82,15529,85.2
2013-2014,New Orleans Pelicans,41,672029,16867,691547,16390.95122,95.4,41,17397,90.8,82,16894,93.1
2014-2015,New Orleans Pelicans,41,683757,16867,691547,16677,97,41,17640,92.1,82,17159,94.55
2015-2016,New Orleans Pelicans,41,688549,16867,691547,16793.87805,97.7,41,17851,93.6,82,17322,95.65
2016-2017,New Orleans Pelicans,41,688549,16867,691547,16793.87805,97.7,41,17851,93.6,82,17322,95.65
2008-2009,New York Knicks,41,790801,19812,812292,19287.82927,97.6,40,17729,91.7,81,18508,94.65
2009-2010,New York Knicks,41,799550,19812,812292,19501.21951,98.7,41,17315,90,82,18408,94.35
2010-2011,New York Knicks,41,808879,19812,812292,19728.7561,99.8,41,18044,93.9,82,18886,96.85
2011-2012,New York Knicks,33,652179,19812,653796,19763,100,33,18407,95.6,66,19085,97.8
2012-2013,New York Knicks,41,780353,19812,812292,19033,96.3,41,18271,94.6,82,18652,95.45
2013-2014,New York Knicks,41,812292,19812,812292,19812,100,41,17422,90.3,82,18617,95.15
2014-2015,New York Knicks,41,812292,19812,812292,19812,100,41,17462,90.7,82,18637,95.35
2015-2016,New York Knicks,41,812292,19812,812292,19812,100,41,18440,96,82,19126,98
2016-2017,New York Knicks,41,812292,19812,812292,19812,100,41,18440,96,82,19126,98
2008-2009,Oklahoma City Thunder,40,747732,18203,728120,18693.3,97.7,41,16679,87.2,81,17686,92.45
2009-2010,Oklahoma City Thunder,41,738149,18203,746323,18003.63415,98.9,41,16876,88.3,82,17440,93.6
2010-2011,Oklahoma City Thunder,41,744068,18203,746323,18148,99.7,41,17774,93.4,82,17961,96.55
2011-2012,Oklahoma City Thunder,33,600699,18203,600699,18203,100,33,18031,95.4,66,18117,97.7
2012-2013,Oklahoma City Thunder,41,746323,18203,746323,18203,100,41,18335,95.7,82,18269,97.85
2013-2014,Oklahoma City Thunder,41,746323,18203,746323,18203,100,41,18170,95.2,82,18187,97.6
2014-2015,Oklahoma City Thunder,41,746323,18203,746323,18203,100,41,17956,93.9,82,18080,96.95
2015-2016,Oklahoma City Thunder,41,746323,18203,746323,18203,100,41,18258,95.6,82,18231,97.8
2016-2017,Oklahoma City Thunder,41,746323,18203,746323,18203,100,41,18258,95.6,82,18231,97.8
2008-2009,Orlando Magic,41,698768,17283,708603,17043.12195,97.6,40,17900,92,81,17472,94.8
2009-2010,Orlando Magic,41,715901,17283,708603,17461,100,41,17838,92.2,82,17650,96.1
2010-2011,Orlando Magic,41,777852,18846,772686,18972,102.6,41,17428,90.5,82,18200,96.55
2011-2012,Orlando Magic,33,623587,18846,621918,18896.57576,102.1,33,17161,88.6,66,18029,95.35
2012-2013,Orlando Magic,41,721414,18846,772686,17595.46341,93.4,41,16821,86.8,82,17208,90.1
2013-2014,Orlando Magic,41,666046,18846,772686,16245.02439,86.2,41,16583,86.1,82,16414,86.15
2014-2015,Orlando Magic,41,688194,18846,772686,16785.21951,89.1,41,17585,91.2,82,17185,90.15
2015-2016,Orlando Magic,41,719275,18846,772686,17543.29268,93.1,41,17175,89.2,82,17359,91.15
2016-2017,Orlando Magic,41,719275,18846,772686,17543.29268,93.1,41,17175,89.2,82,17359,91.15
2008-2009,Philadelphia 76ers,41,647898,20238,829758,15802.39024,79.7,40,17358,89.5,81,16580,84.6
2009-2010,Philadelphia 76ers,41,583219,20238,829758,14224.85366,70,41,16889,88,82,15557,79
2010-2011,Philadelphia 76ers,41,604823,20238,829758,14751.78049,72.6,41,17155,89.5,82,15953,81.05
2011-2012,Philadelphia 76ers,33,577597,20238,667854,17502.93939,86.1,33,16764,86.8,66,17133,86.45
2012-2013,Philadelphia 76ers,41,685412,20238,829758,16717.36585,82.2,41,17323,90.2,82,17020,86.2
2013-2014,Philadelphia 76ers,41,568632,20238,829758,13869.07317,68.2,41,17441,90.5,82,15655,79.35
2014-2015,Philadelphia 76ers,41,571572,20238,829758,13940.78049,68.6,41,17665,91.8,82,15803,80.2
2015-2016,Philadelphia 76ers,41,610121,20238,829758,14881,73.2,41,17491,90.7,82,16186,81.95
2016-2017,Philadelphia 76ers,41,610121,20238,829758,14881,73.2,41,17491,90.7,82,16186,81.95
2008-2009,Phoenix Suns,41,755302,18422,755302,18422,100,41,18122,94.6,82,18272,97.3
2009-2010,Phoenix Suns,41,723582,18422,755302,17648.34146,95.8,41,17376,91.4,82,17512,93.6
2010-2011,Phoenix Suns,41,720249,18422,755302,17567.04878,95.4,41,17462,91.6,82,17515,93.5
2011-2012,Phoenix Suns,33,514718,18422,607926,15597.51515,84.7,33,17806,94.5,66,16702,89.6
2012-2013,Phoenix Suns,41,632913,18422,755302,15436.90244,83.8,41,17152,89.7,82,16294,86.75
2013-2014,Phoenix Suns,41,650739,18422,755302,15871.68293,86.2,41,17250,90.3,82,16561,88.25
2014-2015,Phoenix Suns,41,693862,18422,755302,16923.46341,91.9,41,17586,92.1,82,17255,92
2015-2016,Phoenix Suns,41,701405,18422,755302,17107.43902,92.9,41,16881,88.7,82,16994,90.8
2016-2017,Phoenix Suns,41,701405,18422,755302,17107.43902,92.9,41,16881,88.7,82,16994,90.8
2008-2009,Portland Trail Blazers,41,841499,19980,819180,20524.36585,102.7,40,17167,89.8,81,18846,96.25
2009-2010,Portland Trail Blazers,41,840411,19980,819180,20497.82927,102.6,41,16546,87.2,82,18522,94.9
2010-2011,Portland Trail Blazers,41,840924,19980,819180,20510.34146,102.7,41,16333,86,82,18422,94.35
2011-2012,Portland Trail Blazers,33,676384,19980,659340,20496.48485,102.6,33,17164,90.7,66,18830,96.65
2012-2013,Portland Trail Blazers,41,813012,19980,819180,19829.56098,95.4,41,16727,88,82,18278,91.7
2013-2014,Portland Trail Blazers,41,809612,19980,819180,19746.63415,95,41,17312,91.1,82,18529,93.05
2014-2015,Portland Trail Blazers,41,801733,19980,819180,19554.46341,94,41,17657,92.9,82,18606,93.45
2015-2016,Portland Trail Blazers,41,794085,19980,819180,19367.92683,99.6,41,17703,93.3,82,18535,96.45
2016-2017,Portland Trail Blazers,41,794085,19980,819180,19367.92683,99.6,41,17703,93.3,82,18535,96.45
2008-2009,Sacramento Kings,40,502852,17317,692680,12571.3,72.6,41,17227,89.8,81,14899,81.2
2009-2010,Sacramento Kings,41,543416,17317,709997,13254.04878,76.5,41,16973,88.9,82,15114,82.7
2010-2011,Sacramento Kings,41,569496,17317,709997,13890.14634,80.2,41,17400,91.2,82,15645,85.7
2011-2012,Sacramento Kings,33,478764,17317,571461,14508,83.8,33,16905,87.9,66,15707,85.85
2012-2013,Sacramento Kings,41,563743,17317,709997,13749.82927,79.4,41,17305,90.3,82,15527,84.85
2013-2014,Sacramento Kings,41,667949,17317,709997,16291.43902,94.1,41,16859,88,82,16575,91.05
2014-2015,Sacramento Kings,41,680049,17317,709997,16586.56098,95.8,41,17515,91.7,82,17051,93.75
2015-2016,Sacramento Kings,41,707526,17317,709997,17256.73171,99.7,41,17355,91,82,17306,95.35
2016-2017,Sacramento Kings,41,707526,17608,721928,17256.73171,99.7,41,17355,91,82,17306,95.35
2008-2009,San Antonio Spurs,41,749048,18418,755138,18269.46341,97.2,40,17626,92.3,81,17948,94.75
2009-2010,San Antonio Spurs,41,741676,18418,755138,18089.65854,97.4,41,17707,93.2,82,17898,95.3
2010-2011,San Antonio Spurs,41,750879,18418,755138,18314.12195,98.6,41,17389,91.1,82,17852,94.85
2011-2012,San Antonio Spurs,33,607095,18418,607794,18396.81818,99,33,16990,89.8,66,17693,94.4
2012-2013,San Antonio Spurs,41,755700,18418,755138,18431.70732,99.2,41,17290,90.6,82,17861,94.9
2013-2014,San Antonio Spurs,41,755031,18418,755138,18415.39024,99.1,41,17627,92.2,82,18021,95.65
2014-2015,San Antonio Spurs,41,762855,18418,755138,18606.21951,100.1,41,17972,94.1,82,18289,97.1
2015-2016,San Antonio Spurs,41,756445,18418,755138,18449.87805,99.3,41,17938,94.4,82,18194,96.85
2016-2017,San Antonio Spurs,41,756445,18418,755138,18449.87805,99.3,41,17938,94.4,82,18194,96.85
2008-2009,Toronto Raptors,41,769707,19800,811800,18773.34146,94.8,41,16785,87.1,82,17779,90.95
2009-2010,Toronto Raptors,41,733784,19800,811800,17897.17073,90.4,41,16466,85.9,82,17182,88.15
2010-2011,Toronto Raptors,41,679208,19800,811800,16566.04878,83.7,41,16855,91.9,82,16711,87.8
2011-2012,Toronto Raptors,33,555584,19800,653400,16835.87879,85,33,16732,86.3,66,16784,85.65
2012-2013,Toronto Raptors,41,743936,19800,811800,18144.78049,91.6,41,16313,84.8,82,17229,88.2
2013-2014,Toronto Raptors,41,748339,19800,811800,18252.17073,92.2,41,16702,86.8,82,17477,89.5
2014-2015,Toronto Raptors,41,809824,19800,811800,19751.80488,99.8,41,17522,90.9,82,18637,95.35
2015-2016,Toronto Raptors,41,812863,19800,811800,19825.92683,100.1,41,17162,89.2,82,18494,94.65
